trip_id,stop_id,trip_date,arrival_delay,route_id,sch_arrival_time,sch_departure_time,stop_sequence,stop_name,stop_lat,stop_lon,arrival_time,departure_delay,departure_time
13276205,296,12-06-2022,-296,6612,1670358715,1670358715,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1670358419,-296,1670358419
13276224,126,12-02-2022,-112,6612,1670024261,1670024261,24,Southbound Mackenzie St @ W 29 Ave,49.245848,-123.170308,1670024149,-112,1670024149
13276205,296,11-30-2022,-124,6612,1669840315,1669840315,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1669840191,-124,1669840191
13276182,130,11-30-2022,-113,6612,1669850007,1669850007,26,Southbound Mackenzie St @ W 37 Ave,49.238254,-123.170377,1669849894,-113,1669849894
13276116,115,11-28-2022,-140,6612,1669651274,1669651274,20,Westbound W 16 Ave @ Mackenzie St,49.257839,-123.170777,1669651134,-140,1669651134
13276205,296,12-05-2022,-119,6612,1670272315,1670272315,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1670272196,-119,1670272196
13276243,128,11-28-2022,-166,6612,1669704564,1669704564,25,Southbound Mackenzie St @ W 33 Ave,49.241997,-123.170345,1669704398,-166,1669704398
13276137,103,11-29-2022,-158,6612,1669760721,1669760721,9,Westbound Cornwall Ave @ Arbutus St,49.272608,-123.152989,1669760563,-158,1669760563
13276135,1379,12-07-2022,-115,6612,1670457541,1670457541,14,Southbound Macdonald St @ W 4th Ave,49.268064,-123.168411,1670457426,-115,1670457426
13276184,54,12-02-2022,-129,6612,1670022051,1670022051,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1670021922,-129,1670021922
13276189,296,12-01-2022,-128,6612,1669927915,1669927915,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1669927787,-128,1669927787
13276123,296,11-30-2022,-142,6612,1669820784,1669820784,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1669820642,-142,1669820642
13276585,106,12-04-2022,-112,6612,1670185994,1670185994,12,Westbound Cornwall Ave @ Trafalgar St,49.272799,-123.164636,1670185882,-112,1670185882
13276123,296,11-23-2022,-123,6612,1669215985,1669215985,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1669215862,-123,1669215862
13276123,296,11-28-2022,-142,6612,1669647984,1669647984,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1669647842,-142,1669647842
13276657,646,11-28-2022,-117,6612,1669622880,1669622880,31,Dunbar Loop @ Bay 2,49.234593,-123.18575,1669622763,-117,1669622763
